X = 0.055, Y = 2.58
X = 0.039, Y = 1.824
X = 0.022, Y = 1.022
X = 0.002, Y = 0.091
X = -0.769, Y = -0.41
X = -0.642, Y = -0.343
X = -0.044, Y = -0.024
X = -8.741, Y = 4.793
X = -7.772, Y = 4.846
X = -7.479, Y = 4.862
X = -7.38, Y = 4.868
X = -6.887, Y = 4.895
X = -6.471, Y = 4.918
X = -5.91, Y = 4.949
X = -5.32, Y = 4.982
X = -0.509, Y = -9.758
X = -1.029, Y = -9.207
X = -1.45, Y = -8.761
X = -1.842, Y = -8.346
X = -2.18, Y = -7.987
X = -2.535, Y = -7.611
X = -2.639, Y = -7.501
X = -2.935, Y = -7.187
X = -3.09, Y = -7.023
X = -3.601, Y = -6.482
X = -3.984, Y = -6.076
X = -4.39, Y = -5.646
X = -4.499, Y = -5.53
X = -4.515, Y = -5.513
X = -5.16, Y = -4.83
X = -4.859, Y = -5.15
X = -6.003, Y = -2.625
X = -5.774, Y = -3.168
X = -5.763, Y = -3.194
X = -5.73, Y = -3.272
X = -5.452, Y = -3.931
X = -5.227, Y = -4.463
X = -4.853, Y = -5.349
X = -4.993, Y = -5.017
X = -4.994, Y = -5.016
X = 2.029, Y = -8.376
X = 2.263, Y = -8.111
X = 2.715, Y = -7.598
X = 2.977, Y = -7.3
X = 3.09, Y = -7.171
X = 3.386, Y = -6.835
X = 3.418, Y = -6.798
X = 3.65, Y = -6.534
X = 3.663, Y = -6.519
X = 3.985, Y = -6.153
X = 4.207, Y = -5.9
X = 4.659, Y = -5.387
X = 4.687, Y = -5.355
X = 4.928, Y = -5.082
X = 5.693, Y = 5.315
X = 5.524, Y = 5.238
X = 4.781, Y = 4.9
X = 8.967, Y = 3.724
X = 8.962, Y = 3.725
X = 8.405, Y = 3.904
X = 8.106, Y = 4.0
X = 7.415, Y = 4.222
X = 6.926, Y = 4.38
X = 6.11, Y = 4.642
X = 6.091, Y = 4.648
X = 5.635, Y = 4.795
X = 5.59, Y = 4.81
X = 4.673, Y = 5.106
